,Stock,Dividend Yield,Mkt Cap (Rs. Cr.),TTM EPS See historical trend,Open,Open,Year,Total Assets,Minority Interest,Net CashFlow From Operating Activities,Total Shareholders Funds,Total Current Assets,Cash And Cash Equivalents,Current Investments,Total Current Liabilities,Long Term Borrowings,Short Term Borrowings,"Profit/Loss Before Exceptional, ExtraOrdinary Items And Tax",Finance Costs,Other Income,Net Cash Used In Investing Activities,Inventories,Current Assets,Current Liabilities,Working Capital,Minority Interest Balance Sheet,Other Income PnL,EBIT,ROC,BookToMkt,Net Debt,TEV,EarningYield,Rank EarningYield,Rank ROC,CombRank,MagicFormulaRank,CombinedRank
0,acc,0.47,37178,38.74  (-46.24% YoY),2006.0,- -,23,20543.77,"Attribute
Minority Interest     3.48
Minority Interest    -0.14
Minority Interest    -0.11
Name: First Date, dtype: object",-1235.08,14138.47,8255.15,414.71,0.0,5641.01,0.0,0.0,1348.22,77.28,"Attribute
Other Income    341.89
Other Income    222.74
Name: First Date, dtype: object",-4637.30,1624.20,7840.44,5641.01,2199.4299999999994,3.48,341.89,1083.6100000000001,0.07895868187726979,0.38029130130722466,-414.71,36766.770000000004,0.029472537293866174,77.0,128.0,300.0,123.0,113.0
1,aartiindustries,0.49,18403,13.24  (-63.95% YoY),511.95,- -,23,8580.90,"Attribute
Minority Interest    0.72
Minority Interest    0.00
Minority Interest      --
Name: First Date, dtype: object",1309.80,4920.06,2459.28,200.73,0.0,2783.34,634.71,2239.32,611.1,168.28,"Attribute
Other Income    0.86
Other Income    1.00
Name: First Date, dtype: object",-1329.78,1031.05,2258.55,544.02,1714.5300000000002,0.72,0.86,778.52,0.10252641781767226,0.2673509753844482,,,,148.0,107.0,,138.0,
2,adanienterprises,0.05,281614,23.49  (+174.78% YoY),2502.4,- -,23,141487.82,"Attribute
Minority Interest    4839.04
Minority Interest      51.34
Minority Interest      51.34
Name: First Date, dtype: object",17626.46,31873.89,37121.73,5373.69,165.0,44803.05,32590.03,5729.59,3619.22,3969.98,"Attribute
Other Income    1197.36
Other Income    1197.36
Name: First Date, dtype: object",-16860.09,6918.05,31583.040000000005,39073.46000000001,-7490.420000000002,4839.04,1197.36,6391.84,0.09860934510463004,0.11318290283863729,433.98,286887.01999999996,0.02227999022054048,90.0,110.0,340.0,120.0,124.0
3,adaniportsspecialeconomiczone,0.61,176710,29.01  (+35.56% YoY),832.0,- -,23,114905.13,"Attribute
Minority Interest    1338.51
Minority Interest     -82.57
Minority Interest     -82.57
Name: First Date, dtype: object",11933.25,45583.58,17447.52,4248.78,4028.69,12924.56,46516.94,4001.49,6714.73,2362.64,"Attribute
Other Income    1553.48
Other Income    1553.48
Name: First Date, dtype: object",-16938.80,451.97,9170.050000000001,8923.07,246.98000000000138,1338.51,1553.48,7523.889999999999,0.08191208953675334,0.2579569916812857,-1937.06,176111.45,0.042722321575343336,57.0,122.0,262.0,103.0,96.0
4,adityabirlacapital,0.00,46815,19.30  (+154.42% YoY),182.5,- -,23,180754.05,"Attribute
Minority Interest    1509.32
Minority Interest     -28.30
Minority Interest     -28.30
Name: First Date, dtype: object",-24028.59,20309.57,174024.63,2315.86,45573.25,58215.2,30505.3,53815.47,5362.66,4722.0,"Attribute
Other Income    2785.68
Other Income    2785.68
Name: First Date, dtype: object",-2649.87,0.00,126135.52000000002,4399.729999999996,121735.79000000002,1509.32,2785.68,7298.98,0.07133868050739249,0.43382612410552174,27216.34,75540.66,0.09662319603773649,25.0,129.0,295.0,83.0,112.0
5,adityabirlafashionretail,0.00,21098,-2.90,223.5,- -,23,17041.28,"Attribute
Minority Interest     2.71
Minority Interest    23.47
Minority Interest    23.47
Name: First Date, dtype: object",636.20,3343.29,7170.05,701.06,182.43,7087.51,1507.62,797.9,-89.28,472.36,"Attribute
Other Income    116.46
Other Income    116.46
Name: First Date, dtype: object",-387.23,4214.38,6286.5599999999995,6289.610000000001,-3.0500000000010914,2.71,116.46,266.62000000000006,0.0538871204082664,0.15846478339179068,42268.16,63368.87,0.004207428663316862,129.0,137.0,408.0,143.0,133.0
6,alkemlaboratories,1.36,44063,95.62  (-12.41% YoY),3659.85,- -,23,13756.65,"Attribute
Minority Interest    389.71
Minority Interest    -22.64
Minority Interest    -22.64
Name: First Date, dtype: object",1682.50,9045.29,8729.68,2616.89,317.21,3707.15,70.33,1326.35,1407.75,107.36,"Attribute
Other Income    216.08
Other Income    216.08
Name: First Date, dtype: object",112.84,2607.53,5795.580000000001,2380.8,3414.7800000000007,389.71,216.08,1299.03,0.16600852643040068,0.20528084787690354,28189.44,72642.15000000001,0.01788259295739457,102.0,64.0,211.0,95.0,61.0
7,ambujacements,0.58,85015,10.47  (-12.18% YoY),436.5,- -,23,51721.46,"Attribute
Minority Interest    7058.35
Minority Interest    -440.98
Minority Interest    -322.62
Name: First Date, dtype: object",734.92,31698.2,19249.37,2961.04,0.0,11513.67,34.22,13.49,4020.51,194.9,"Attribute
Other Income    737.71
Other Income    456.74
Name: First Date, dtype: object",-14480.75,3272.79,16288.329999999998,11500.18,4788.149999999998,7058.35,737.71,3477.7,0.12081694306766018,0.37285420219961185,806.56,92879.91,0.03744297340512065,64.0,90.0,238.0,84.0,79.0
8,apollohospitalsenterprises,0.30,71983,46.50  (-24.32% YoY),5051.45,- -,23,14427.80,"Attribute
Minority Interest    333.90
Minority Interest    -25.20
Minority Interest    -25.50
Name: First Date, dtype: object",1376.70,6197.4,4337.0,775.8,292.2,3324.9,1937.6,772.7,1143.7,380.8,"Attribute
Other Income    90.30
Other Income    90.34
Name: First Date, dtype: object",-870.60,390.10,3269.0,2552.2,716.8000000000002,333.90,90.30,1434.2,0.17636714666929013,0.08609532806357056,-2546.56,69770.34,0.020556012769896208,95.0,59.0,274.0,85.0,101.0
9,apollotyres,1.19,24067,20.64  (+86.87% YoY),370.0,- -,23,27359.21,"Attribute
Minority Interest    0.00
Minority Interest    0.00
Minority Interest      --
Name: First Date, dtype: object",2134.39,12877.78,8858.71,846.23,401.69,8010.39,3789.84,1797.81,1404.37,531.24,"Attribute
Other Income    41.09
Other Income    41.09
Name: First Date, dtype: object",-476.14,4428.46,7610.79,6212.58,1398.21,0.00,41.09,1894.52,0.10752588085724664,0.5350804005484688,-2926.82,21140.18,0.0896170231284691,26.0,101.0,174.0,56.0,43.0
